Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Colorado,4314327.0,612425.0,1008.0,3042.0,4857.0,3843.0,23951.0,4202.0,2742.0,5299.0,660.0,1835.0,7670.0,1487.0,1295.0,1588.0,4103.0,3155.0,2065.0,24813.0,6053.0,14299.0,3055.0,19998.0,5140.0,8164.0,11666.0,2096.0,13764.0,8.0
Connecticut,2643514.0,400036.0,17870.0,2137.0,28209.0,35491.0,9173.0,33306.0,5012.0,5548.0,671.0,7293.0,13614.0,6846.0,1529.0,5465.0,5889.0,6225.0,3009.0,29080.0,3968.0,6173.0,157.0,7957.0,3290.0,7211.0,11903.0,2337.0,1295.0,9.0
Delaware,778595.0,62657.0,3117.0,1676.0,1568.0,584.0,1899.0,719.0,257.0,665.0,22.0,2299.0,2416.0,824.0,271.0,1447.0,2427.0,1790.0,909.0,7463.0,305.0,1603.0,24.0,1244.0,472.0,2966.0,1702.0,166.0,211.0,10.0
District of Columbia,528179.0,57321.0,716.0,519.0,1694.0,1736.0,2691.0,518.0,638.0,774.0,226.0,437.0,1173.0,550.0,182.0,470.0,155.0,208.0,370.0,5121.0,1001.0,1342.0,0.0,1068.0,105.0,2022.0,2375.0,553.0,6671.0,11.0
Florida,13810811.0,4199678.0,415809.0,17578.0,46199.0,110832.0,61523.0,22643.0,17499.0,18662.0,2163.0,19550.0,27109.0,18124.0,2916.0,11259.0,12315.0,8236.0,12244.0,74711.0,12339.0,20365.0,1393.0,61725.0,15604.0,65966.0,58147.0,21875.0,4360.0,12.0
Georgia,8301923.0,770037.0,15332.0,4284.0,4586.0,15287.0,22015.0,2514.0,5631.0,5466.0,319.0,24171.0,30549.0,14380.0,2215.0,8238.0,16036.0,10986.0,6559.0,49100.0,8689.0,47552.0,3223.0,45853.0,7390.0,13048.0,18798.0,3943.0,21622.0,13.0
Idaho,1404451.0,126615.0,21.0,819.0,625.0,1334.0,3900.0,261.0,1883.0,1509.0,44.0,72.0,859.0,283.0,246.0,70.0,167.0,332.0,68.0,4697.0,1347.0,674.0,167.0,1652.0,1373.0,2344.0,3431.0,136.0,166.0,16.0
Hawaii,983502.0,29100.0,210.0,304.0,1026.0,1504.0,3053.0,452.0,275.0,539.0,90.0,42.0,832.0,34.0,29.0,35.0,160.0,184.0,83.0,33741.0,43031.0,19328.0,27.0,9415.0,3552.0,58832.0,812.0,558.0,223.0,15.0
Illinois,9274377.0,1616278.0,5218.0,6280.0,30577.0,7726.0,35792.0,175937.0,28558.0,37987.0,1686.0,46826.0,47542.0,51749.0,6258.0,5543.0,21015.0,14400.0,17355.0,105748.0,13641.0,41833.0,404.0,24328.0,11135.0,81617.0,68241.0,5445.0,19595.0,17.0
Indiana,5686192.0,288582.0,1439.0,27048.0,3107.0,2674.0,30677.0,3891.0,5167.0,4689.0,118.0,3477.0,7277.0,3504.0,5662.0,1886.0,4296.0,3388.0,1974.0,28011.0,5884.0,6900.0,360.0,7649.0,2222.0,8519.0,11778.0,1030.0,2617.0,18.0
Iowa,2701004.0,118709.0,890.0,4543.0,1111.0,1509.0,10706.0,549.0,7898.0,1166.0,48.0,1231.0,2921.0,1072.0,279.0,741.0,2456.0,1075.0,936.0,12313.0,1197.0,2859.0,928.0,8549.0,5296.0,2947.0,7986.0,437.0,2482.0,19.0
Kansas,2397762.0,209025.0,371.0,2056.0,853.0,1957.0,10406.0,308.0,792.0,690.0,29.0,1409.0,4327.0,1637.0,1150.0,1216.0,3710.0,1719.0,851.0,10728.0,2042.0,3788.0,1468.0,13207.0,5199.0,3579.0,4761.0,254.0,3604.0,20.0
Kentucky,3937646.0,111393.0,935.0,6100.0,1168.0,1225.0,13845.0,633.0,4933.0,1445.0,59.0,3185.0,3162.0,1552.0,454.0,450.0,1809.0,1228.0,832.0,7076.0,4205.0,3404.0,80.0,5093.0,1582.0,4570.0,8096.0,299.0,4376.0,21.0
Louisiana,4001758.0,161432.0,5694.0,643.0,1964.0,2894.0,4734.0,455.0,909.0,651.0,41.0,1066.0,2399.0,2054.0,442.0,550.0,842.0,680.0,546.0,8707.0,1663.0,2734.0,68.0,28941.0,2820.0,5173.0,9834.0,421.0,786.0,22.0
Maine,1188798.0,11461.0,364.0,694.0,968.0,1538.0,2846.0,642.0,550.0,700.0,35.0,125.0,306.0,216.0,11.0,70.0,196.0,161.0,70.0,3480.0,824.0,430.0,0.0,1159.0,441.0,1455.0,2508.0,121.0,2462.0,23.0
Maryland,4599111.0,450150.0,14401.0,3955.0,8267.0,12758.0,15956.0,4341.0,1730.0,4678.0,1727.0,10967.0,20484.0,20218.0,6963.0,7661.0,8787.0,6930.0,5179.0,69447.0,6738.0,38017.0,110.0,21932.0,4745.0,33448.0,18158.0,5734.0,30888.0,24.0
Massachusetts,4941922.0,581553.0,81696.0,3877.0,32444.0,190569.0,15202.0,15998.0,4213.0,8913.0,6551.0,11971.0,23447.0,7777.0,3890.0,6575.0,8906.0,10001.0,5722.0,134582.0,8408.0,15802.0,427.0,41976.0,5822.0,8327.0,35090.0,7086.0,11128.0,25.0
Michigan,8486297.0,279967.0,1396.0,10822.0,15143.0,5338.0,32315.0,19000.0,12407.0,12489.0,2321.0,9166.0,19342.0,13915.0,6896.0,20172.0,14282.0,8763.0,8909.0,50366.0,12292.0,15463.0,5034.0,14373.0,5159.0,16348.0,138749.0,2191.0,33265.0,26.0
,238129421.0,43307602.0,834558.0,493222.0,591543.0,747723.0,914147.0,525456.0,246233.0,328420.0,234502.0,408391.0,818764.0,475987.0,294800.0,322543.0,373816.0,274744.0,248238.0,3348405.0,456297.0,1094261.0,229505.0,1488622.0,304342.0,1716368.0,1173221.0,214950.0,518612.0,1549.0
