Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
New York,12798327.0,2640614.0,147293.0,124417.0,205877.0,45572.0,68441.0,72363.0,218771.0,98227.0,33683.0,6728.0,27358.0,21142.0,59714.0,67179.0,493477.0,35215.0,113077.0,4117.0,178.0,8334.0,3702.0,22053.0,75708.0,95.0,12776.0,79580.0,67370.0,36
North Carolina,7862319.0,624448.0,2194.0,98.0,7511.0,6311.0,23884.0,5413.0,9943.0,2869.0,3300.0,243.0,4409.0,10104.0,11611.0,5330.0,26854.0,6307.0,15041.0,4700.0,9276.0,3324.0,4130.0,20456.0,11324.0,310.0,1367.0,15155.0,1823.0,37
North Dakota,590804.0,8029.0,32.0,6.0,151.0,59.0,9361.0,39.0,727.0,368.0,1065.0,0.0,33.0,83.0,184.0,154.0,1325.0,534.0,156.0,63.0,26.0,77.0,60.0,656.0,473.0,71.0,73.0,649.0,38.0,38
Ohio,10106940.0,238687.0,2098.0,810.0,18880.0,3673.0,58187.0,11072.0,16068.0,10557.0,13636.0,563.0,3302.0,7204.0,14863.0,5111.0,35798.0,9464.0,11080.0,4196.0,537.0,2943.0,2358.0,11332.0,11479.0,45.0,7872.0,29213.0,2827.0,39
Oklahoma,3143824.0,208187.0,204.0,56.0,1071.0,896.0,10476.0,715.0,1893.0,594.0,191.0,87.0,2108.0,1272.0,1931.0,1378.0,8154.0,1623.0,4258.0,400.0,3655.0,1182.0,1541.0,14185.0,3406.0,166.0,198.0,4028.0,458.0,40
Oregon,3046487.0,311380.0,502.0,84.0,3032.0,1713.0,16225.0,906.0,20524.0,1346.0,1936.0,415.0,3064.0,960.0,4336.0,627.0,23521.0,9938.0,10614.0,2867.0,766.0,2335.0,2798.0,23701.0,8139.0,428.0,740.0,6675.0,1061.0,41
Pennsylvania,10734015.0,501460.0,14092.0,1994.0,48535.0,12482.0,54173.0,14518.0,35173.0,25590.0,9078.0,2131.0,4211.0,17639.0,19216.0,9018.0,65795.0,6977.0,30027.0,10526.0,1023.0,2431.0,2566.0,36481.0,14836.0,101.0,4119.0,26320.0,6231.0,42
Rhode Island,786716.0,105155.0,6055.0,93.0,8760.0,33522.0,1930.0,1670.0,1901.0,2626.0,149.0,1301.0,339.0,462.0,904.0,370.0,5867.0,389.0,1481.0,4542.0,871.0,656.0,2985.0,937.0,1979.0,38.0,135.0,1981.0,396.0,44
South Carolina,3991256.0,184478.0,629.0,108.0,2457.0,2627.0,12673.0,2673.0,3720.0,1543.0,745.0,118.0,573.0,2737.0,2414.0,937.0,8397.0,2753.0,4043.0,1651.0,562.0,907.0,1020.0,5571.0,6400.0,10.0,780.0,4153.0,981.0,45
South Dakota,699573.0,15114.0,0.0,18.0,149.0,174.0,8884.0,59.0,1018.0,116.0,765.0,26.0,23.0,98.0,278.0,84.0,947.0,345.0,726.0,58.0,175.0,170.0,177.0,750.0,872.0,75.0,46.0,540.0,67.0,46
