Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
New Jersey,5821459.0,1360981.0,48073.0,9975.0,67373.0,76347.0,21016.0,59136.0,8811.0,22095.0,4983.0,81103.0,74912.0,29874.0,16583.0,24926.0,31104.0,24295.0,17269.0,121495.0,10036.0,78324.0,22.0,19015.0,2930.0,79417.0,67451.0,15291.0,4196.0,34
New Mexico,1269225.0,541385.0,64.0,765.0,1290.0,939.0,6507.0,474.0,344.0,343.0,84.0,424.0,1019.0,412.0,195.0,256.0,571.0,131.0,157.0,4873.0,1501.0,1663.0,44.0,3883.0,1180.0,3248.0,3576.0,501.0,184.0,35
New York,12924635.0,2810962.0,156539.0,159439.0,165083.0,42332.0,58604.0,86153.0,31537.0,38397.0,7310.0,19759.0,60457.0,77506.0,34929.0,120636.0,9518.0,10556.0,29567.0,588310.0,35353.0,102039.0,289.0,22975.0,11581.0,76127.0,97158.0,65454.0,13037.0,36
North Carolina,8369406.0,704788.0,4756.0,4038.0,6719.0,7344.0,21493.0,3610.0,3493.0,3905.0,370.0,12942.0,17285.0,5931.0,2094.0,2781.0,11516.0,7785.0,4438.0,34508.0,6607.0,14413.0,9697.0,24155.0,7348.0,14568.0,22187.0,1637.0,8404.0,37
North Dakota,654693.0,11806.0,107.0,526.0,215.0,331.0,6401.0,384.0,871.0,531.0,0.0,69.0,553.0,42.0,33.0,172.0,94.0,49.0,9.0,1715.0,477.0,275.0,19.0,525.0,160.0,1353.0,946.0,47.0,1353.0,38
Ohio,10163386.0,244874.0,1730.0,48996.0,13878.0,3889.0,46910.0,7086.0,11130.0,14218.0,430.0,8535.0,18750.0,5057.0,4475.0,3169.0,9688.0,6639.0,3297.0,45786.0,8891.0,11048.0,494.0,12423.0,5139.0,10598.0,42618.0,2189.0,20536.0,39
Oklahoma,3264424.0,251108.0,605.0,1146.0,1041.0,1144.0,8105.0,516.0,395.0,449.0,128.0,1254.0,2068.0,2243.0,326.0,1460.0,896.0,838.0,2676.0,9684.0,1756.0,4347.0,3250.0,17784.0,2188.0,3857.0,5093.0,619.0,737.0,40
Oregon,3214945.0,343032.0,609.0,3024.0,2247.0,3062.0,14473.0,1273.0,1542.0,8262.0,569.0,785.0,6589.0,1135.0,1063.0,1075.0,2475.0,1951.0,1484.0,29681.0,10263.0,9897.0,1820.0,24966.0,4347.0,10552.0,8056.0,1479.0,6798.0,41
Pennsylvania,10750803.0,576232.0,18461.0,71145.0,36863.0,14237.0,44182.0,18972.0,6682.0,17869.0,1842.0,17345.0,23549.0,11626.0,4815.0,10814.0,12124.0,7183.0,14001.0,87245.0,6823.0,29007.0,712.0,36930.0,4247.0,16657.0,36129.0,6696.0,5257.0,42
Rhode Island,780740.0,119710.0,8375.0,163.0,6281.0,30744.0,1967.0,1624.0,116.0,447.0,769.0,505.0,1789.0,983.0,44.0,463.0,511.0,737.0,354.0,7401.0,801.0,1155.0,441.0,1771.0,2643.0,1356.0,3035.0,364.0,249.0,44
