Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Oregon,3096638.0,319160.0,524.0,154.0,2816.0,2007.0,15185.0,850.0,21884.0,1183.0,1801.0,475.0,3375.0,621.0,4783.0,813.0,26410.0,9313.0,10382.0,2947.0,799.0,2130.0,2594.0,25813.0,8452.0,326.0,859.0,7938.0,1112.0,41,2013
Oregon,3121336.0,324212.0,614.0,174.0,2656.0,2165.0,14176.0,848.0,22786.0,1141.0,1960.0,478.0,3737.0,689.0,4784.0,1030.0,27401.0,9610.0,10805.0,3276.0,1502.0,2354.0,2127.0,24365.0,9361.0,276.0,833.0,7316.0,1019.0,41,2014
Oregon,3148786.0,332139.0,395.0,188.0,2703.0,2723.0,14451.0,953.0,20746.0,1010.0,1880.0,450.0,3670.0,556.0,5608.0,947.0,29082.0,9556.0,11213.0,3472.0,1622.0,2392.0,2008.0,23396.0,9185.0,288.0,707.0,8456.0,877.0,41,2015
Washington,5037218.0,432663.0,657.0,195.0,6034.0,4945.0,34033.0,2748.0,48278.0,4997.0,5092.0,932.0,6669.0,1667.0,11996.0,2732.0,67841.0,23793.0,47055.0,12071.0,2074.0,4441.0,7918.0,50280.0,49288.0,276.0,1464.0,7280.0,2347.0,53,2009
Washington,5060313.0,477752.0,833.0,238.0,6249.0,4388.0,33289.0,3135.0,49112.0,4987.0,5149.0,1149.0,6983.0,2091.0,13591.0,3080.0,74079.0,24766.0,50608.0,13639.0,2401.0,5289.0,8010.0,55221.0,50865.0,399.0,1477.0,8903.0,1955.0,53,2010
Washington,5113710.0,488617.0,679.0,263.0,6359.0,4655.0,32958.0,2931.0,51027.0,5127.0,5459.0,1326.0,7519.0,1909.0,14090.0,3426.0,77720.0,24224.0,50762.0,15582.0,2070.0,5561.0,7694.0,55740.0,51897.0,301.0,1514.0,9669.0,2127.0,53,2011
Washington,5155403.0,506701.0,729.0,214.0,6634.0,4991.0,32295.0,2877.0,53699.0,4894.0,5761.0,1226.0,8318.0,2451.0,13778.0,3206.0,81129.0,24991.0,49475.0,16024.0,2169.0,5263.0,7592.0,57525.0,54315.0,299.0,1494.0,10836.0,2241.0,53,2012
Washington,5195196.0,521751.0,767.0,198.0,6624.0,5289.0,32474.0,3015.0,56537.0,4818.0,5259.0,1170.0,8599.0,2552.0,15528.0,3398.0,81650.0,25418.0,48065.0,17187.0,2116.0,5368.0,7566.0,60094.0,54878.0,335.0,1410.0,12482.0,2336.0,53,2013
Washington,5242120.0,534807.0,781.0,211.0,6088.0,5520.0,31277.0,2877.0,57063.0,4748.0,5476.0,1571.0,8332.0,2707.0,17731.0,3902.0,83804.0,24300.0,49438.0,17905.0,1598.0,5457.0,7684.0,62061.0,56408.0,208.0,1389.0,13753.0,2635.0,53,2014
Washington,5303472.0,546327.0,934.0,163.0,5555.0,5706.0,30115.0,2582.0,57230.0,4702.0,5542.0,1384.0,8336.0,2724.0,20235.0,3964.0,89549.0,25198.0,48425.0,17752.0,1666.0,5458.0,7492.0,61610.0,56497.0,249.0,1335.0,15083.0,2792.0,53,2015
