Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
New Jersey,5857324.0,1118566.0,39544.0,6403.0,87790.0,88676.0,31047.0,22833.0,45915.0,64709.0,10386.0,6189.0,7444.0,60699.0,51245.0,22941.0,97974.0,11631.0,69977.0,870.0,18.0,2497.0,436.0,16656.0,76708.0,5.0,7271.0,49647.0,16647.0,34,2009
New Mexico,1166804.0,514152.0,63.0,118.0,1430.0,689.0,7329.0,608.0,1022.0,771.0,202.0,67.0,992.0,375.0,585.0,246.0,4579.0,1448.0,1402.0,41.0,16.0,696.0,400.0,3405.0,2125.0,63208.0,386.0,1057.0,500.0,35,2009
Nevada,1705003.0,459432.0,265.0,283.0,6427.0,2196.0,9077.0,2022.0,3597.0,2493.0,3935.0,2463.0,3997.0,703.0,1968.0,800.0,19706.0,6306.0,8185.0,775.0,81.0,4351.0,1710.0,5354.0,53347.0,1150.0,1641.0,4458.0,1985.0,32,2009
New York,13009868.0,2540604.0,134946.0,125780.0,232810.0,46018.0,72488.0,79759.0,231957.0,101626.0,34604.0,7215.0,26212.0,19655.0,50707.0,57206.0,451926.0,33671.0,106740.0,3480.0,152.0,6443.0,2412.0,23381.0,72918.0,66.0,14359.0,75504.0,69971.0,36,2009
Ohio,10111373.0,226766.0,2077.0,935.0,20454.0,3207.0,57337.0,11908.0,15223.0,12330.0,13468.0,435.0,3095.0,6621.0,11034.0,4971.0,31938.0,8992.0,9784.0,4812.0,645.0,2472.0,2399.0,10504.0,9598.0,110.0,8400.0,25780.0,3197.0,39,2009
Oklahoma,3068856.0,184973.0,189.0,57.0,1368.0,1305.0,10585.0,552.0,2114.0,348.0,141.0,59.0,1766.0,1060.0,1592.0,1596.0,6903.0,2007.0,3718.0,312.0,2299.0,991.0,1552.0,12905.0,3559.0,243.0,221.0,3877.0,491.0,40,2009
Oregon,3000413.0,291430.0,421.0,130.0,3231.0,1638.0,17555.0,900.0,20290.0,1298.0,1392.0,294.0,3297.0,677.0,3952.0,565.0,21044.0,10294.0,11500.0,2204.0,1649.0,2224.0,2598.0,21015.0,7032.0,457.0,913.0,5879.0,1198.0,41,2009
Pennsylvania,10669840.0,448902.0,11107.0,2095.0,52684.0,12950.0,57776.0,15284.0,34638.0,27157.0,8531.0,1968.0,3800.0,15435.0,16193.0,7679.0,57719.0,7041.0,27118.0,8790.0,525.0,1931.0,1950.0,30946.0,12038.0,25.0,4550.0,22966.0,6946.0,42,2009
Puerto Rico,172033.0,3518267.0,117.0,34.0,434.0,605.0,356.0,21.0,72.0,93.0,0.0,0.0,15.0,0.0,122.0,10.0,664.0,54.0,37.0,0.0,0.0,7.0,0.0,6.0,39.0,0.0,0.0,237.0,0.0,72,2009
Rhode Island,792382.0,99683.0,5243.0,65.0,9697.0,33923.0,1921.0,1671.0,2150.0,2431.0,71.0,1609.0,183.0,379.0,818.0,413.0,4474.0,615.0,1420.0,4302.0,986.0,380.0,3131.0,927.0,1960.0,29.0,86.0,1735.0,402.0,44,2009
South Carolina,3864127.0,157206.0,540.0,122.0,2380.0,3062.0,12288.0,2676.0,3985.0,1660.0,686.0,115.0,563.0,2672.0,2501.0,873.0,7803.0,2354.0,3003.0,899.0,873.0,1022.0,1021.0,5865.0,6300.0,4.0,748.0,4559.0,1232.0,45,2009
South Dakota,692700.0,14324.0,0.0,9.0,150.0,107.0,9857.0,81.0,929.0,62.0,923.0,19.0,25.0,0.0,260.0,22.0,689.0,358.0,331.0,18.0,186.0,121.0,122.0,1102.0,900.0,90.0,55.0,479.0,30.0,46,2009
Tennessee,5407573.0,189804.0,1087.0,89.0,2597.0,2034.0,14179.0,823.0,4455.0,1472.0,2325.0,225.0,3061.0,3991.0,4560.0,1379.0,12027.0,4370.0,8071.0,1886.0,503.0,1642.0,6320.0,7216.0,5113.0,50.0,546.0,12216.0,802.0,47,2009
Texas,14487789.0,6306542.0,4054.0,571.0,12436.0,14926.0,70770.0,6727.0,16442.0,8614.0,7579.0,1246.0,22459.0,24865.0,43122.0,47002.0,118296.0,14771.0,47869.0,9341.0,551.0,10110.0,12054.0,154406.0,58100.0,656.0,2030.0,45946.0,5236.0,48,2009
Utah,2062578.0,214238.0,250.0,17.0,3244.0,7706.0,10480.0,1289.0,4140.0,777.0,3615.0,602.0,1436.0,163.0,1254.0,673.0,10073.0,4611.0,3976.0,1850.0,233.0,1151.0,1829.0,5872.0,3819.0,9901.0,338.0,1482.0,142.0,49,2009
Virginia,6249294.0,424029.0,4423.0,247.0,10188.0,7995.0,27791.0,7246.0,12385.0,4163.0,3874.0,1285.0,22690.0,5383.0,18937.0,20270.0,42875.0,9784.0,52200.0,4557.0,80.0,5989.0,2445.0,40627.0,39053.0,204.0,1825.0,29410.0,1292.0,51,2009
Vermont,557715.0,6052.0,11.0,4.0,732.0,420.0,2460.0,190.0,698.0,544.0,1321.0,26.0,66.0,43.0,201.0,231.0,1312.0,432.0,414.0,46.0,0.0,171.0,38.0,693.0,186.0,15.0,122.0,373.0,96.0,50,2009
Washington,5037218.0,432663.0,657.0,195.0,6034.0,4945.0,34033.0,2748.0,48278.0,4997.0,5092.0,932.0,6669.0,1667.0,11996.0,2732.0,67841.0,23793.0,47055.0,12071.0,2074.0,4441.0,7918.0,50280.0,49288.0,276.0,1464.0,7280.0,2347.0,53,2009
Wisconsin,4814711.0,220307.0,387.0,258.0,5938.0,1183.0,38242.0,2771.0,6157.0,9321.0,5166.0,251.0,806.0,1555.0,4185.0,2271.0,11789.0,2211.0,4411.0,668.0,35277.0,1425.0,4448.0,2996.0,4290.0,41.0,553.0,4690.0,842.0,55,2009
West Virginia,1666101.0,17299.0,18.0,0.0,1564.0,348.0,2475.0,414.0,473.0,401.0,122.0,0.0,240.0,470.0,650.0,573.0,1733.0,991.0,642.0,21.0,0.0,345.0,0.0,770.0,1304.0,25.0,174.0,1344.0,149.0,54,2009
Wyoming,456701.0,20826.0,0.0,2.0,300.0,128.0,1915.0,441.0,411.0,96.0,64.0,24.0,97.0,72.0,54.0,105.0,536.0,324.0,172.0,0.0,0.0,28.0,0.0,62.0,398.0,42.0,27.0,119.0,29.0,56,2009
Alabama,4194045.0,137617.0,568.0,29.0,1638.0,1293.0,10017.0,967.0,1327.0,341.0,479.0,14.0,1303.0,1206.0,3471.0,958.0,8244.0,3170.0,5860.0,769.0,37.0,757.0,904.0,5716.0,2546.0,45.0,154.0,3889.0,510.0,1,2010
Alaska,534077.0,22447.0,159.0,0.0,438.0,469.0,4050.0,105.0,4266.0,637.0,101.0,7.0,118.0,0.0,227.0,211.0,1311.0,1846.0,3853.0,271.0,1502.0,909.0,896.0,1103.0,14857.0,107.0,73.0,685.0,182.0,2,2010
Arizona,4215749.0,1199689.0,509.0,414.0,8229.0,3189.0,22990.0,2770.0,7408.0,6324.0,9215.0,1922.0,5332.0,3148.0,8130.0,1941.0,24895.0,6526.0,9656.0,1813.0,39.0,2291.0,1589.0,17750.0,18244.0,86293.0,1808.0,14039.0,1692.0,4,2010
Arkansas,2498432.0,131717.0,97.0,22.0,1202.0,734.0,5401.0,133.0,477.0,307.0,287.0,13.0,312.0,360.0,1042.0,697.0,2969.0,979.0,1874.0,0.0,2391.0,270.0,3234.0,4322.0,2454.0,20.0,185.0,1769.0,269.0,5,2010
California,19429309.0,9706949.0,5974.0,4883.0,64934.0,76320.0,114575.0,23809.0,141884.0,21941.0,22156.0,175917.0,178552.0,42086.0,130387.0,40888.0,990241.0,147373.0,366414.0,74759.0,70088.0,46477.0,36970.0,484766.0,743408.0,1520.0,14122.0,131702.0,38607.0,6,2010
Colorado,3783688.0,542257.0,466.0,123.0,5565.0,2828.0,27415.0,1964.0,13975.0,4810.0,2965.0,612.0,3264.0,737.0,4225.0,1691.0,18228.0,6177.0,15811.0,1700.0,3302.0,2421.0,1818.0,18807.0,7261.0,2672.0,1215.0,7825.0,1674.0,8,2010
Connecticut,2652446.0,339414.0,12307.0,671.0,37918.0,38371.0,11907.0,9552.0,11851.0,37286.0,5090.0,811.0,1560.0,5293.0,9815.0,6447.0,23818.0,3333.0,6339.0,1979.0,161.0,1371.0,2656.0,7750.0,8113.0,58.0,2809.0,5735.0,2379.0,9,2010
Delaware,724189.0,54227.0,1869.0,88.0,2653.0,513.0,3356.0,1257.0,793.0,1229.0,156.0,27.0,424.0,1976.0,1786.0,1410.0,5365.0,709.0,1178.0,63.0,0.0,280.0,103.0,1229.0,2554.0,0.0,256.0,1722.0,146.0,10,2010
District of Columbia,471292.0,40324.0,811.0,90.0,1280.0,1140.0,2425.0,411.0,1170.0,588.0,482.0,76.0,660.0,266.0,1104.0,225.0,3308.0,751.0,1168.0,48.0,0.0,296.0,13.0,988.0,1169.0,0.0,169.0,1288.0,419.0,11,2010
