State,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Maryland,4553640.0,378010.0,11932.0,1003.0,10135.0,10971.0,18284.0,9848.0,21388.0,4356.0,2121.0,1634.0,13898.0,9631.0,16192.0,16765.0,61951.0,6249.0,38029.0,1974.0,7.0,3710.0,914.0,21268.0,32818.0,97.0,2057.0,14847.0,6092.0,24,2013
Maryland,4587997.0,388382.0,12340.0,1033.0,9593.0,10624.0,18078.0,9820.0,21812.0,4428.0,1931.0,1745.0,13983.0,9838.0,17693.0,17286.0,64574.0,6570.0,37970.0,1774.0,78.0,3200.0,825.0,21924.0,35413.0,94.0,1895.0,14492.0,5937.0,24,2014
Maryland,4603986.0,402105.0,13113.0,841.0,9565.0,11391.0,16922.0,9908.0,22667.0,4100.0,2124.0,1883.0,13633.0,10669.0,18123.0,18160.0,66019.0,6341.0,38105.0,1802.0,70.0,3338.0,804.0,22485.0,34660.0,177.0,1664.0,15002.0,6191.0,24,2015
Massachusetts,4877834.0,431636.0,49609.0,1057.0,46057.0,188290.0,17132.0,25666.0,36970.0,23144.0,3688.0,6028.0,5816.0,7517.0,14389.0,4691.0,91535.0,8929.0,14070.0,21725.0,490.0,3154.0,2300.0,34557.0,7633.0,56.0,1741.0,23370.0,6806.0,25,2009
Massachusetts,4823127.0,457990.0,53724.0,948.0,43184.0,180975.0,17292.0,24700.0,36252.0,21812.0,3863.0,6762.0,6051.0,7937.0,15748.0,5378.0,98735.0,9206.0,15175.0,23023.0,318.0,3228.0,2745.0,35306.0,8810.0,54.0,1896.0,23620.0,6842.0,25,2010
Massachusetts,4831189.0,473389.0,57224.0,1026.0,42279.0,179071.0,17727.0,24440.0,36595.0,20617.0,3830.0,7804.0,6308.0,8616.0,16508.0,5854.0,100536.0,8300.0,16875.0,22909.0,215.0,3130.0,2525.0,37631.0,9169.0,42.0,1959.0,25665.0,7678.0,25,2011
Massachusetts,4848772.0,488334.0,61693.0,901.0,41366.0,180556.0,18660.0,24145.0,37351.0,20077.0,4166.0,7787.0,6099.0,9577.0,17417.0,6058.0,103854.0,8081.0,16588.0,22890.0,365.0,3015.0,3196.0,39744.0,8129.0,49.0,1733.0,27480.0,7658.0,25,2012
Massachusetts,4871680.0,502625.0,64549.0,785.0,38919.0,181917.0,17515.0,23991.0,36549.0,19235.0,4806.0,8104.0,6453.0,8926.0,18845.0,6303.0,106715.0,8408.0,16962.0,21869.0,563.0,2753.0,3113.0,40302.0,8214.0,52.0,1518.0,29436.0,7348.0,25,2013
Massachusetts,4892060.0,519521.0,68262.0,668.0,37544.0,181251.0,17518.0,23503.0,36844.0,18013.0,4446.0,7834.0,6441.0,9422.0,18540.0,5916.0,113975.0,8422.0,16775.0,23631.0,740.0,2664.0,3199.0,40245.0,7587.0,56.0,1571.0,33466.0,6713.0,25,2014
Massachusetts,4912310.0,534262.0,71301.0,711.0,36387.0,179245.0,17773.0,23689.0,38496.0,17220.0,4287.0,7385.0,6268.0,10267.0,19332.0,5963.0,121445.0,8490.0,17594.0,24047.0,694.0,2677.0,2959.0,41140.0,7682.0,51.0,1497.0,33345.0,7108.0,25,2015
