Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Kentucky,3862744.0,102950.0,419.0,120.0,1150.0,938.0,12547.0,648.0,2066.0,686.0,5218.0,147.0,889.0,1142.0,2785.0,1091.0,7879.0,4736.0,3072.0,1044.0,65.0,767.0,630.0,4840.0,3154.0,14.0,257.0,5707.0,211.0,21
Louisiana,3850712.0,145951.0,6132.0,60.0,2495.0,2958.0,5553.0,513.0,1897.0,850.0,830.0,51.0,1069.0,838.0,1568.0,2053.0,9100.0,2125.0,2769.0,396.0,71.0,588.0,1725.0,26526.0,4284.0,53.0,291.0,6043.0,273.0,22
Maine,1172336.0,12141.0,122.0,11.0,1048.0,561.0,3957.0,628.0,1552.0,664.0,325.0,169.0,460.0,118.0,438.0,243.0,2616.0,787.0,973.0,948.0,0.0,527.0,67.0,2068.0,1211.0,18.0,27.0,1262.0,178.0,23
Maryland,4524903.0,365434.0,11633.0,1195.0,10768.0,10485.0,20252.0,9646.0,22406.0,4770.0,1771.0,1898.0,12998.0,9392.0,16483.0,15321.0,60388.0,6277.0,38452.0,2362.0,10.0,3534.0,925.0,21325.0,31277.0,20.0,1947.0,13543.0,5740.0,24
Massachusetts,4848772.0,488334.0,61693.0,901.0,41366.0,180556.0,18660.0,24145.0,37351.0,20077.0,4166.0,7787.0,6099.0,9577.0,17417.0,6058.0,103854.0,8081.0,16588.0,22890.0,365.0,3015.0,3196.0,39744.0,8129.0,49.0,1733.0,27480.0,7658.0,25
Michigan,8463248.0,270604.0,1400.0,668.0,20334.0,3733.0,40841.0,8469.0,11913.0,25070.0,13112.0,2598.0,2913.0,9146.0,16228.0,11205.0,38222.0,12046.0,15704.0,1793.0,4811.0,1825.0,2010.0,14800.0,15875.0,120.0,2681.0,106506.0,2772.0,26
Minnesota,4432890.0,190520.0,980.0,362.0,2439.0,2300.0,25356.0,1132.0,14147.0,3419.0,3619.0,75.0,1552.0,1916.0,7119.0,2634.0,20594.0,3616.0,5763.0,5756.0,54790.0,1865.0,9007.0,21262.0,5753.0,62.0,558.0,8805.0,1093.0,27
Mississippi,2652230.0,65494.0,325.0,40.0,1110.0,335.0,3086.0,184.0,526.0,140.0,102.0,27.0,133.0,1303.0,1292.0,485.0,4311.0,709.0,1317.0,82.0,4.0,264.0,124.0,5949.0,2544.0,0.0,65.0,1975.0,49.0,28
Missouri,5256422.0,147449.0,891.0,251.0,4439.0,2224.0,23025.0,1879.0,7905.0,1600.0,13150.0,205.0,3087.0,1941.0,3771.0,2830.0,18053.0,2988.0,7003.0,1086.0,808.0,1758.0,859.0,11702.0,7163.0,70.0,915.0,9603.0,997.0,29
Montana,887231.0,13889.0,47.0,3.0,523.0,144.0,7860.0,166.0,679.0,247.0,103.0,9.0,45.0,5.0,146.0,56.0,894.0,794.0,440.0,8.0,290.0,170.0,4.0,279.0,691.0,225.0,57.0,358.0,94.0,30
Nebraska,1520665.0,116917.0,155.0,118.0,1392.0,582.0,5913.0,249.0,1543.0,987.0,589.0,15.0,549.0,347.0,1351.0,428.0,3758.0,1097.0,965.0,106.0,38.0,801.0,517.0,7622.0,1415.0,12.0,42.0,3533.0,213.0,31
